product_id,product_name,category,sub_category,brand,margin_pct,times_ordered,total_units_sold,total_revenue,avg_line_total,avg_discount,unique_buyers,unit_cost,total_cost,gross_profit,revenue_rank,units_rank,revenue_contribution_pct
45,Weighted Blanket 15lb,Home & Garden,Bedroom,SleepWell,62.50,39,81,9253.39,237.27,4.51,34,45.00,3645.00,5608.39,23,42,0.90
36,Ceramic Dining Set 16-Piece,Home & Garden,Kitchen,ChefMaster,63.33,38,64,9211.68,236.20,4.30,36,55.00,3520.00,5691.68,24,91,0.89
60,Fitness Tracker Band,Sports & Fitness,Wearables,TechVision,63.07,40,75,8988.40,224.71,8.06,36,48.00,3600.00,5388.40,25,65,0.87
63,Professional Hair Dryer,Beauty,Hair Care,StylePro,63.33,31,62,8955.36,279.86,4.42,30,55.00,3410.00,5545.36,26,95,0.87
65,Luxury Perfume 100ml,Beauty,Fragrance,EliteScent,69.23,38,66,8366.51,220.17,3.05,36,40.00,2640.00,5726.51,27,86,0.81
11,Gaming Mouse RGB,Electronics,Accessories,GameForce,65.00,51,106,8018.01,157.22,5.43,47,28.00,2968.00,5050.01,28,5,0.78
28,Linen Summer Dress,Clothing,Dresses,UrbanThread,62.00,36,85,7844.86,217.91,8.58,32,38.00,3230.00,4614.86,29,31,0.76
67,Electric Toothbrush Smart,Beauty,Oral Care,SmileTech,62.00,37,81,7674.68,201.97,4.42,36,38.00,3078.00,4596.68,30,42,0.74
3,Bluetooth Portable Speaker,Electronics,Audio,SoundWave,60.00,41,83,7224.78,172.02,2.88,40,36.00,2988.00,4236.78,31,38,0.70
29,Fleece Zip Vest,Clothing,Outerwear,StormShield,62.35,43,84,6836.27,158.98,4.26,40,32.00,2688.00,4148.27,32,33,0.66
25,Cashmere Scarf,Clothing,Accessories,WoolCo,61.11,45,78,6631.69,147.37,4.49,40,35.00,2730.00,3901.69,33,54,0.64
34,Organic Cotton Sheet Set,Home & Garden,Bedroom,SleepWell,64.44,40,78,6607.89,165.20,5.60,34,32.00,2496.00,4111.89,34,54,0.64
74,Men's Cologne Classic,Beauty,Fragrance,EliteScent,68.89,41,76,6535.72,159.41,3.86,36,28.00,2128.00,4407.72,35,59,0.63
102,Remote Control Car Turbo,Toys & Games,Vehicles,SpeedRacer,62.50,37,84,6430.58,169.23,3.10,32,30.00,2520.00,3910.58,36,33,0.62
57,Trail Running Backpack,Sports & Fitness,Accessories,SpeedStrike,62.50,41,84,6388.64,155.82,6.27,37,30.00,2520.00,3868.64,37,33,0.62
26,Tailored Chinos,Clothing,Bottoms,UrbanThread,64.28,44,91,6200.10,137.78,2.50,41,25.00,2275.00,3925.10,38,20,0.60
17,Slim Fit Denim Jeans,Clothing,Bottoms,DenimCraft,65.00,36,79,6149.69,170.82,3.36,34,28.00,2212.00,3937.69,39,49,0.60
61,Anti-Aging Serum 30ml,Beauty,Skincare,GlowLab,72.22,37,69,5869.21,158.63,5.39,34,25.00,1725.00,4144.21,40,78,0.57
72,Hair Straightener Ceramic,Beauty,Hair Care,StylePro,62.50,37,76,5756.65,155.59,6.37,34,30.00,2280.00,3476.65,41,59,0.56
39,Bamboo Bathroom Shelving,Home & Garden,Bathroom,NaturalHome,65.00,37,73,5510.85,148.94,5.81,36,28.00,2044.00,3466.85,42,70,0.53
62,Hydrating Face Moisturizer,Beauty,Skincare,GlowLab,67.27,42,99,5294.81,123.14,3.10,41,18.00,1782.00,3512.81,43,12,0.51
35,Indoor Herb Garden Kit,Home & Garden,Garden,GreenThumb,63.33,47,90,5205.72,110.76,3.41,45,22.00,1980.00,3225.72,44,22,0.50
109,Building Blocks Castle Set,Toys & Games,Building Sets,BrainBuild,64.28,39,80,5153.48,132.14,6.37,35,25.00,2000.00,3153.48,45,44,0.50
22,Silk Formal Dress Shirt,Clothing,Tops,FormalEdge,64.44,25,61,5097.21,203.89,8.19,24,32.00,1952.00,3145.21,46,96,0.49
51,Cycling Helmet Aero,Sports & Fitness,Cycling,SpeedStrike,61.11,33,59,5000.69,151.54,5.33,32,35.00,2065.00,2935.69,47,97,0.48
27,Athletic Hoodie,Clothing,Activewear,AthleticPro,62.66,34,66,4776.01,132.67,3.34,30,28.00,1848.00,2928.01,48,86,0.46
43,Cast Iron Dutch Oven,Home & Garden,Kitchen,ChefMaster,60.00,32,56,4769.30,149.04,3.57,29,36.00,2016.00,2753.30,49,102,0.46
71,Eyeshadow Palette 24 Colors,Beauty,Makeup,GlamStudio,66.66,44,84,4767.67,108.36,5.25,39,20.00,1680.00,3087.67,50,33,0.46
23,Yoga Leggings,Clothing,Activewear,AthleticPro,66.15,35,79,4753.54,135.82,5.98,31,22.00,1738.00,3015.54,51,49,0.46
68,Nail Art Kit Professional,Beauty,Nail Care,StylePro,66.66,47,110,4738.82,98.73,4.29,43,15.00,1650.00,3088.82,52,3,0.46
24,Leather Belt Premium,Clothing,Accessories,LeatherLux,69.99,42,77,4435.41,105.60,4.25,38,18.00,1386.00,3049.41,53,57,0.43
30,Performance Polo Shirt,Clothing,Tops,AthleticPro,63.63,44,83,4406.60,100.15,2.66,41,20.00,1660.00,2746.60,54,38,0.43
101,STEM Building Blocks 500pc,Toys & Games,Educational,BrainBuild,63.99,47,89,4302.59,89.64,3.51,45,18.00,1602.00,2700.59,55,24,0.42
58,Kettlebell Cast Iron 25lb,Sports & Fitness,Weights,IronForge,63.63,40,79,4238.50,105.96,2.88,35,20.00,1580.00,2658.50,56,49,0.41
10,Portable Power Bank 20000mAh,Electronics,Accessories,ChargeMaster,63.99,41,86,4130.57,100.75,4.56,33,18.00,1548.00,2582.57,57,30,0.40
37,Velvet Throw Pillows Set 4,Home & Garden,Living Room,DecorPlus,65.71,30,63,4109.71,136.99,6.00,28,24.00,1512.00,2597.71,58,94,0.40
105,Science Experiment Lab,Toys & Games,Educational,BrainBuild,63.33,35,71,4089.45,113.60,3.93,33,22.00,1562.00,2527.45,59,74,0.40
77,SQL Mastery Guide,Books & Media,Non-Fiction,TechPress,68.88,42,95,4045.62,96.32,5.55,33,14.00,1330.00,2715.62,60,14,0.39
19,Running Performance Shorts,Clothing,Activewear,AthleticPro,66.66,45,92,3861.58,85.81,4.92,39,15.00,1380.00,2481.58,61,18,0.37
16,Premium Cotton T-Shirt,Clothing,Tops,UrbanThread,69.99,49,100,3806.69,77.69,4.49,48,12.00,1200.00,2606.69,62,10,0.37
42,Luxury Bath Towel Set,Home & Garden,Bathroom,SleepWell,67.27,35,71,3717.42,106.21,3.30,32,18.00,1278.00,2439.42,63,74,0.36
76,Data Science Handbook,Books & Media,Non-Fiction,TechPress,69.99,35,76,3692.68,105.51,2.62,32,15.00,1140.00,2552.68,64,59,0.36
78,Python Cookbook 4th Ed,Books & Media,Non-Fiction,TechPress,67.27,40,69,3688.75,92.22,2.85,35,18.00,1242.00,2446.75,65,78,0.36
70,Beard Grooming Kit,Beauty,Grooming,GentleMan,63.99,37,80,3649.14,98.63,7.45,35,18.00,1440.00,2209.14,66,44,0.35
75,Lip Care Collection,Beauty,Makeup,GlamStudio,65.70,47,104,3490.09,72.71,3.72,43,12.00,1248.00,2242.09,67,8,0.34
55,Pull-Up Bar Doorway,Sports & Fitness,Equipment,IronForge,64.99,43,89,3408.97,77.48,3.70,37,14.00,1246.00,2162.97,68,24,0.33
14,Wireless Charging Pad,Electronics,Accessories,ChargeMaster,65.70,44,93,3149.31,71.58,3.24,38,12.00,1116.00,2033.31,69,17,0.30
53,Gym Bag Duffle XL,Sports & Fitness,Accessories,AthleticPro,63.33,35,55,3137.51,89.64,5.81,30,22.00,1210.00,1927.51,70,104,0.30
69,Vitamin C Face Serum,Beauty,Skincare,NaturalGlow,69.99,39,83,3133.21,78.33,4.66,37,12.00,996.00,2137.21,71,38,0.30
84,Coding Interview Prep,Books & Media,Non-Fiction,TechPress,69.99,42,77,2922.30,69.58,4.82,36,12.00,924.00,1998.30,72,57,0.28
59,Swimming Goggles Pro,Sports & Fitness,Swimming,AquaSpeed,66.66,45,100,2921.75,64.93,2.07,40,10.00,1000.00,1921.75,73,10,0.28
44,Solar Garden Lights 10-Pack,Home & Garden,Garden,EcoSmart,64.44,39,66,2858.07,73.28,3.61,37,16.00,1056.00,1802.07,74,86,0.28
103,Strategy Board Game Deluxe,Toys & Games,Board Games,GameNight,64.44,39,66,2832.71,72.63,3.92,33,16.00,1056.00,1776.71,75,86,0.27
47,Yoga Mat Premium 6mm,Sports & Fitness,Yoga,FlexFit,69.99,36,58,2766.12,76.84,4.75,33,15.00,870.00,1896.12,76,99,0.27
91,Protein Bar Variety Pack,Food & Beverages,Health Food,FitFuel,66.66,41,92,2682.78,65.43,3.66,36,10.00,920.00,1762.78,77,18,0.26
80,Wireless Bluetooth Earbuds,Books & Media,Audiobooks,AudioWorld,67.99,57,107,2505.46,43.96,4.53,54,8.00,856.00,1649.46,78,4,0.24
88,Artisan Dark Chocolate Box,Food & Beverages,Confectionery,CocoaCraft,65.70,37,74,2479.24,67.01,5.18,34,12.00,888.00,1591.24,79,66,0.24
49,Resistance Band Set Pro,Sports & Fitness,Accessories,FlexFit,71.42,35,74,2413.12,68.95,7.86,32,10.00,740.00,1673.12,80,66,0.23
108,Action Figure Collection,Toys & Games,Action Figures,HeroWorld,65.70,32,74,2398.91,74.97,5.66,28,12.00,888.00,1510.91,81,66,0.23
79,Leadership in Tech,Books & Media,Non-Fiction,BusinessBooks,66.66,41,79,2271.45,55.40,4.15,36,10.00,790.00,1481.45,82,49,0.22
104,Art Supplies Mega Kit,Toys & Games,Arts & Crafts,CreativeKids,64.99,31,57,2179.73,70.31,4.22,26,14.00,798.00,1381.73,83,100,0.21
86,Organic Coffee Beans 1kg,Food & Beverages,Coffee & Tea,BeanOrigin,63.99,42,88,2107.99,50.19,4.44,35,9.00,792.00,1315.99,84,28,0.20
52,Jump Rope Speed,Sports & Fitness,Accessories,IronForge,69.98,51,101,1970.99,38.65,2.77,44,6.00,606.00,1364.99,85,9,0.19
106,Plush Teddy Bear Giant,Toys & Games,Stuffed Animals,CuddlePals,66.66,31,68,1942.74,62.67,4.49,29,10.00,680.00,1262.74,86,82,0.19
56,Exercise Ball 65cm,Sports & Fitness,Yoga,FlexFit,67.99,39,79,1918.45,49.19,3.58,35,8.00,632.00,1286.45,87,49,0.19
90,Extra Virgin Olive Oil 750ml,Food & Beverages,Cooking,MediterraneanGold,64.98,49,98,1914.45,39.07,1.86,42,7.00,686.00,1228.45,88,13,0.19
82,Photography Masterclass DVD,Books & Media,Education,LearnPro,69.99,26,50,1846.89,71.03,7.65,24,12.00,600.00,1246.89,89,106,0.18
50,Foam Roller Recovery,Sports & Fitness,Recovery,FlexFit,66.66,34,64,1769.65,50.56,7.96,32,10.00,640.00,1129.65,90,91,0.17
87,Premium Green Tea Collection,Food & Beverages,Coffee & Tea,TeaHarvest,68.40,47,95,1733.40,36.11,4.37,44,6.00,570.00,1163.40,91,14,0.17
93,Organic Honey Raw 500g,Food & Beverages,Condiments,NatureSweet,64.69,51,106,1728.75,33.25,3.95,45,6.00,636.00,1092.75,92,5,0.17
66,SPF 50 Sunscreen Lotion,Beauty,Skincare,GlowLab,67.99,36,69,1676.34,45.31,2.66,32,8.00,552.00,1124.34,93,78,0.16
64,Organic Shampoo & Conditioner,Beauty,Hair Care,NaturalGlow,66.66,31,57,1675.34,54.04,1.95,30,10.00,570.00,1105.34,94,100,0.16
85,Art of Mindfulness,Books & Media,Non-Fiction,WellnessPress,69.55,37,76,1660.12,43.69,5.32,35,7.00,532.00,1128.12,95,59,0.16
97,Matcha Powder Ceremonial,Food & Beverages,Coffee & Tea,TeaHarvest,66.66,29,56,1619.83,55.86,4.18,27,10.00,560.00,1059.83,96,102,0.16
107,Puzzle 1000 Pieces World Map,Toys & Games,Puzzles,PuzzleMaster,67.99,27,65,1577.14,54.38,2.98,27,8.00,520.00,1057.14,97,90,0.15
94,Gourmet Pasta Set,Food & Beverages,Cooking,ItalianTable,65.20,36,59,1311.15,36.42,2.97,36,8.00,472.00,839.15,98,97,0.13
89,Mixed Nuts Premium 500g,Food & Beverages,Snacks,NutHarvest,66.64,42,89,1275.34,30.37,3.98,37,5.00,445.00,830.34,99,24,0.12
73,Body Lotion Shea Butter,Beauty,Body Care,NaturalGlow,69.98,35,64,1229.62,34.16,4.00,31,6.00,384.00,845.62,100,91,0.12
54,Protein Shaker Bottle,Sports & Fitness,Accessories,FlexFit,73.32,41,85,1222.94,29.83,3.15,36,4.00,340.00,882.94,101,31,0.12
110,Card Game Family Fun,Toys & Games,Card Games,GameNight,66.64,32,70,1014.01,30.73,2.54,31,5.00,350.00,664.01,102,77,0.10
100,Coconut Water 6-Pack,Food & Beverages,Beverages,TropicalPure,66.64,38,88,971.34,25.56,6.75,36,4.00,352.00,619.34,103,28,0.09
96,Dried Fruit Mix Organic,Food & Beverages,Snacks,NutHarvest,69.21,36,72,889.50,24.71,4.37,33,4.00,288.00,601.50,104,73,0.09
92,Sparkling Water 12-Pack,Food & Beverages,Beverages,CrystalSpring,66.63,45,95,829.86,18.04,4.92,40,3.00,285.00,544.86,105,14,0.08
81,Streaming Music Subscription,Books & Media,Digital,AudioWorld,69.97,35,80,751.22,20.87,6.02,34,3.00,240.00,511.22,106,44,0.07
99,Granola Clusters Crunchy,Food & Beverages,Health Food,FitFuel,69.97,36,76,724.24,20.12,3.31,32,3.00,228.00,496.24,107,59,0.07
95,Cold Brew Coffee Concentrate,Food & Beverages,Coffee & Tea,BeanOrigin,66.64,25,48,702.14,28.09,3.21,23,5.00,240.00,462.14,108,107,0.07
83,Bestseller Fiction Novel,Books & Media,Fiction,NovelHouse,70.57,23,39,644.92,28.04,3.86,22,5.00,195.00,449.92,109,109,0.06
98,Hot Sauce Collection,Food & Beverages,Condiments,SpiceFire,64.98,19,29,564.10,29.69,2.17,18,7.00,203.00,361.10,110,110,0.05
